2D reactive Euler 
Nx, Ny      = 3500, 400
domain x    = [-50, 300]
domain y    = [0, 40]
final_time  = 30
OpenMP      = enabled, threads=32
scheme      = HLLC + MUSCL/MC + SSP-RK3 + Strang reaction
step=   3540 t=  4.712000 dt=1.270577e-03 pmax=51.2034 shock_x=30.4270
step=   3560 t=  4.737376 dt=1.267240e-03 pmax=50.9123 shock_x=30.5880
step=   3580 t=  4.762650 dt=1.264259e-03 pmax=50.6346 shock_x=30.7520
step=   3600 t=  4.787900 dt=1.261007e-03 pmax=50.3663 shock_x=30.9130
step=   3620 t=  4.813100 dt=1.259229e-03 pmax=50.1050 shock_x=31.0770
step=   3640 t=  4.838260 dt=1.256705e-03 pmax=49.8489 shock_x=31.2368
step=   3660 t=  4.863361 dt=1.253718e-03 pmax=49.5974 shock_x=31.4013
step=   3680 t=  4.888413 dt=1.251705e-03 pmax=49.3500 shock_x=31.5590
step=   3700 t=  4.913432 dt=1.250310e-03 pmax=49.1071 shock_x=31.7222
step=   3720 t=  4.938420 dt=1.248717e-03 pmax=48.8693 shock_x=31.8843
step=   3740 t=  4.963383 dt=1.247682e-03 pmax=48.6382 shock_x=32.0438
step=   3760 t=  4.988322 dt=1.246117e-03 pmax=49.2809 shock_x=32.2057
step=   3780 t=  5.012443 dt=1.243790e-03 pmax=49.3215 shock_x=32.3597
step=   3800 t=  5.037292 dt=1.241276e-03 pmax=49.5125 shock_x=32.5198
step=   3820 t=  5.062097 dt=1.239305e-03 pmax=50.1492 shock_x=32.6818
step=   3840 t=  5.086870 dt=1.238256e-03 pmax=49.8099 shock_x=32.8388
step=   3860 t=  5.111623 dt=1.237299e-03 pmax=49.3161 shock_x=33.0008
step=   3880 t=  5.136368 dt=1.237133e-03 pmax=49.8555 shock_x=33.1548
step=   3900 t=  5.161113 dt=1.237537e-03 pmax=49.5054 shock_x=33.3180
step=   3920 t=  5.185860 dt=1.237328e-03 pmax=48.6942 shock_x=33.4790
step=   3940 t=  5.210609 dt=1.237056e-03 pmax=49.1790 shock_x=33.6353
step=   3960 t=  5.235337 dt=1.235826e-03 pmax=48.9736 shock_x=33.7978
step=   3980 t=  5.259882 dt=1.235232e-03 pmax=48.1333 shock_x=33.9522
step=   4000 t=  5.284580 dt=1.234638e-03 pmax=48.5335 shock_x=34.1125
step=   4020 t=  5.309269 dt=1.234181e-03 pmax=48.4555 shock_x=34.2725
step=   4040 t=  5.333955 dt=1.234498e-03 pmax=47.7090 shock_x=34.4300
step=   4060 t=  5.358644 dt=1.234577e-03 pmax=48.0613 shock_x=34.5902
step=   4080 t=  5.383344 dt=1.235263e-03 pmax=48.1106 shock_x=34.7483
step=   4100 t=  5.408058 dt=1.236114e-03 pmax=47.3722 shock_x=34.9065
step=   4120 t=  5.432788 dt=1.236756e-03 pmax=47.7427 shock_x=35.0635
step=   4140 t=  5.457529 dt=1.237099e-03 pmax=47.8490 shock_x=35.2240
step=   4160 t=  5.482270 dt=1.237012e-03 pmax=47.3053 shock_x=35.3860
step=   4180 t=  5.506187 dt=1.237468e-03 pmax=47.5605 shock_x=35.5343
step=   4200 t=  5.530941 dt=1.238001e-03 pmax=48.0023 shock_x=35.6980
step=   4220 t=  5.555713 dt=1.239127e-03 pmax=48.3040 shock_x=35.8552
step=   4240 t=  5.580510 dt=1.240521e-03 pmax=49.0553 shock_x=36.0165
step=   4260 t=  5.605333 dt=1.241769e-03 pmax=49.7585 shock_x=36.1740
step=   4280 t=  5.630184 dt=1.243273e-03 pmax=50.3941 shock_x=36.3355
step=   4300 t=  5.655069 dt=1.245149e-03 pmax=50.6744 shock_x=36.4988
step=   4320 t=  5.679992 dt=1.246933e-03 pmax=51.2687 shock_x=36.6560
step=   4340 t=  5.704946 dt=1.248444e-03 pmax=50.5621 shock_x=36.8188
step=   4360 t=  5.729932 dt=1.250139e-03 pmax=50.5251 shock_x=36.9788
step=   4380 t=  5.753755 dt=1.251872e-03 pmax=50.9167 shock_x=37.1343
step=   4400 t=  5.778809 dt=1.253397e-03 pmax=50.0593 shock_x=37.2945
step=   4420 t=  5.803892 dt=1.254854e-03 pmax=50.0000 shock_x=37.4585
step=   4440 t=  5.829006 dt=1.256497e-03 pmax=50.2004 shock_x=37.6210
